@relation 'cleaned_summer_products-weka.filters.unsupervised.attribute.Remove-V-R3,25,6,9,7-8,10-11,22,5,16,23,17,14,24,4,2,13,12,20-21,19,15,18,1,26'

@attribute price numeric
@attribute retail_price numeric
@attribute units_sold numeric
@attribute uses_ad_boosts numeric
@attribute rating numeric
@attribute rating_count numeric
@attribute rating_five_count numeric
@attribute rating_four_count numeric
@attribute rating_three_count numeric
@attribute rating_two_count numeric
@attribute rating_one_count numeric
@attribute badges_count numeric
@attribute badge_local_product numeric
@attribute badge_product_quality numeric
@attribute badge_fast_shipping numeric
@attribute product_color {white,green,leopardprint,black,yellow,navyblue,blue,beige,grey,lightblue,orange,red,Black,armygreen,pink,khaki,'red & blue','blue & pink',RED,'white & green',winered,'black & green',purple,whitefloral,floral,fluorescentgreen,'orange & camouflage',lightyellow,coolblack,multicolor,camouflage,lightpink,'pink & black',silver,'Army green',lightgreen,mintgreen,'pink & grey',gray,coffee,rose,'light green',leopard,'black & white',orange-red,dustypink,White,star,'white & black',apricot,skyblue,burgundy,claret,'pink & white',rosered,tan,'navy blue','wine red',lightred,Pink,coralred,brown,lakeblue,darkblue,camel,'pink & blue',nude,Blue,lightpurple,army,'black & stripe','Rose red',greysnakeskinprint,denimblue,applegreen,offwhite,lightgray,navy,'gray & white','brown & yellow','winered & yellow','army green',whitestripe,rainbow,lightgrey,watermelonred,prussianblue,'navyblue & white','white & red',wine,ivory,'black & yellow',jasper,lightkhaki,offblack,violet,'black & blue',blackwhite,darkgreen,rosegold,gold}
@attribute product_variation_inventory numeric
@attribute shipping_option_price numeric
@attribute shipping_is_express numeric
@attribute countries_shipped_to numeric
@attribute inventory_total numeric
@attribute merchant_rating_count numeric
@attribute merchant_rating numeric
@attribute merchant_has_profile_picture numeric
@attribute revenue numeric
@attribute sales_level {Low,High,Medium}

@data
5.77,5,100,1,4,4,1,2,1,0,0,0,0,0,0,armygreen,45,1,0,31,50,8996,3.91574,0,577,Low
5.9,5,10000,0,3.64,1933,867,298,299,151,318,0,0,0,0,grey,4,1,0,30,50,2366,3.951817,0,59000,High
6,20,100,0,3.08,13,4,2,2,1,4,0,0,0,0,red,50,2,0,43,50,2776,3.931196,0,600,Low
7,6,12350,1,4.41,17444,11548,3191,1632,507,566,1,0,1,0,green,2,2,0,35,50,126370,4.146957,1,86450,High
8,7,10000,1,3.7,1404,593,278,232,124,177,0,0,0,0,pink,1,2,0,48,50,4178,3.93753,0,80000,High
12,11,1000,0,3.81,341,163,63,48,21,46,0,0,0,0,'black & green',50,3,0,13,50,2248,4.150356,0,12000,Medium
5.78,8,12350,1,4,3975,2054,774,576,242,329,0,0,0,0,pink,50,1,0,29,50,6555,4.184134,0,71383,High
12,17,5000,0,3.94,387,189,76,67,21,34,0,0,0,0,white,50,3,0,43,50,1288,3.978261,0,60000,High
11,10,12350,1,4.07,3070,1635,642,392,177,224,0,0,0,0,floral,50,2,0,35,50,12974,3.965701,0,135850,High
8,51,100,0,4.29,31,19,5,5,1,1,1,0,1,0,pink,50,2,0,43,50,5846,3.832535,0,800,Low
5.77,48,12350,0,4.1,20744,11184,4152,2919,1174,1315,0,0,0,0,black,50,2,0,46,50,330405,4.067348,1,71259.5,High
9,8,12350,0,3.7,3820,1726,654,568,324,548,0,0,0,0,grey,44,3,0,20,50,15748,4.064643,0,111150,High
1.72,2,100,1,3.77,30,15,3,5,4,3,0,0,0,0,fluorescentgreen,10,1,0,48,50,32168,3.884544,0,172,Low
1.86,9,100,1,3.57,42,17,9,4,5,7,0,0,0,0,pink,2,1,0,40,50,7248,3.943019,0,186,Low
14,92,100,1,4.54,13,10,2,0,0,1,0,0,0,0,black,50,3,0,36,50,54,4.185185,0,1400,Low
3.69,4,1000,0,3.64,212,95,33,32,16,36,0,0,0,0,red,5,1,0,24,50,1559,4.039128,0,3690,Medium
11,30,100,1,4.11,28,17,4,3,1,3,2,1,0,1,'orange & camouflage',2,3,0,45,50,9541,4.21046,0,1100,Low
9,8,100,1,3.18,72,17,19,12,8,16,0,0,0,0,red,10,3,0,26,50,288,3.729167,0,900,Low
6,8,10000,0,3.96,1338,685,257,187,72,137,0,0,0,0,black,50,2,0,43,50,54504,3.801684,1,60000,High
18.785,17,100,1,2.8,15,2,3,5,0,5,0,0,0,0,green,50,6,0,36,50,67,3.298507,0,1878.5,Low
5.66,5,5000,0,3.89,1161,558,242,159,75,127,0,0,0,0,black,50,2,0,42,50,99283,4.285598,0,28300,High
8,65,100,0,3.97,29,18,1,5,1,4,0,0,0,0,white,1,2,0,33,50,239,3.882845,0,800,Low
8,7,1000,1,3.61,668,254,155,102,61,96,0,0,0,0,lightyellow,10,2,0,39,50,40616,4.098557,0,8000,Medium
6,6,1000,1,3.82,134,62,26,23,6,17,0,0,0,0,grey,1,2,0,35,50,670,3.844776,0,6000,Medium
11,10,5000,0,3.96,1556,743,338,258,110,107,0,0,0,0,black,50,3,0,23,50,4610,4.252711,0,55000,High
7,6,1000,1,4.2,107,66,13,18,3,7,0,0,0,0,white,3,2,0,26,50,247,3.94332,0,7000,Medium
11,10,10000,0,3.77,1694,725,376,272,112,209,0,0,0,0,red,50,3,0,31,50,13946,4.000143,0,110000,High
5.81,30,100,0,2.61,18,3,2,5,1,7,0,0,0,0,green,3,2,0,41,50,26473,3.894761,0,581,Low
14,12,10000,0,3.93,2946,1427,614,452,180,273,0,0,0,0,blue,36,4,0,26,50,32858,3.885538,0,140000,High
5,51,10,0,5,0,79,31.5,24,11,20,0,0,0,0,black,1,1,0,36,50,295,3.989831,0,50,Low
