@relation 'cleaned_summer_products-weka.filters.unsupervised.attribute.Remove-V-R3,5-6,22,25-26'

@attribute units_sold numeric
@attribute rating numeric
@attribute rating_count numeric
@attribute merchant_rating_count numeric
@attribute revenue numeric
@attribute sales_level {Low,High,Medium}

@data
100,3.15,72,79,1600,Low
1000,3.95,449,47981,8000,Medium
10000,3.56,893,117487,120000,High
1000,4.1,364,6343,11000,Medium
1000,3.93,651,6383,11000,Medium
5000,3.61,437,2114,28450,High
100,3.28,40,7936,1200,Low
12350,3.35,9075,839882,86450,High
10000,4.29,2068,2174765,56600,High
12350,3.39,2877,402743,98800,High
10000,3.88,1109,59903,50000,High
5000,4.16,2082,5841,70000,High
1000,4.28,134,25914,6000,Medium
10000,4.02,2694,10258,80000,High
1000,4.08,545,33303,11000,Medium
100,3.9,97,91631,185,Low
5000,3.61,1926,73271,45000,High
10000,3.59,1285,1260,80000,High
12350,3.81,11408,151249,37050,High
5000,3.9,813,22765,30000,High
50,4,6,4098,193,Low
5000,4.03,827,124563,45000,High
1000,3.62,462,5880,11000,Medium
12350,3.95,9337,40245,98800,High
10000,4.17,1910,2050,80000,High
10,3.33,3,47,110,Low
100,2,2,14676,800,Low
50,3.88,8,7248,100,Low
100,3.41,27,1129,566,Low
100,4.1,10,4402,900,Low
100,4.08,61,1585,800,Low
1000,3.78,282,16523,9000,Medium
1000,4.33,49,11505,2760,Medium
100,3.57,67,5654,383,Low
10000,4.47,1838,8727,70000,High
1000,3.46,566,36361,6000,Medium
100,4.06,36,5781,800,Low
1000,4.16,45,21012,8000,Medium
100,2.67,12,66644,266,Low
12350,3.37,5685,402743,98800,High
1000,3.55,120,7348,8000,Medium
5000,3.32,510,253249,18350,High
12350,4.08,1799,151914,148200,High
12350,4.06,4378,44067,160550,High
5000,3.89,740,24771,45000,High
50,4.63,8,54,450,Low
100,3.38,42,198,800,Low
10000,4.14,3560,19521,120000,High
100,3.8,15,17612,500,Low
5000,4.27,901,9486,30000,High
1000,3.7,511,47356,14000,Medium
