@relation cleaned_summer_products

@attribute price numeric
@attribute retail_price numeric
@attribute rating numeric
@attribute rating_count numeric
@attribute badge_local_product numeric
@attribute badge_product_quality numeric
@attribute shipping_is_express numeric
@attribute countries_shipped_to numeric
@attribute merchant_rating_count numeric
@attribute merchant_rating numeric
@attribute merchant_has_profile_picture numeric
@attribute performance {average,very_successful,successful}

@data
4.83,51,2,1,0,0,0,39,57,3.824561,0,average
8,16,4.04,1589,0,0,0,43,3665,4.19427,0,successful
3,3,4.29,58,0,1,0,34,1050,3.88381,0,average
8,7,3.88,8,0,0,0,25,334,3.736527,0,average
13,14,3.74,1938,0,0,0,18,5466,3.94109,0,successful
11,88,4.1,1514,0,0,0,35,35751,4.022153,1,successful
7,22,3.5,4,0,0,0,37,1531,3.760287,0,average
5,5,3.97,538,0,0,0,29,6876,3.775451,0,successful
6,6,3.84,309,0,0,0,39,24564,3.92888,0,successful
13,11,4,4,0,0,0,42,45151,4.032956,0,average
3,3,4.12,2826,0,0,0,49,55670,4.121484,1,very_successful
12,26,4.16,663,0,0,0,43,18029,4.100616,0,successful
11,10,3.09,22,0,0,0,38,16487,3.967611,0,average
8,118,3.85,2519,0,0,0,43,23485,4.024697,0,successful
5.85,13,3.16,602,0,0,0,38,25631,3.894737,0,successful
6,6,3.07,55,0,0,0,27,23161,3.930573,0,average
9,57,3.63,146,0,0,0,71,14442,4.143055,0,successful
8,7,3.6,141,0,0,0,24,3771,3.881464,0,successful
5,5,5,2,0,0,0,41,5316,4.224605,0,average
8,7,3.71,7,0,0,0,23,211,3.545024,0,average
9,8,3.94,4304,0,0,0,41,18877,4.079886,0,very_successful
8,7,3.32,1061,0,0,0,28,88193,4.080891,1,successful
4.81,5,0,0,0,0,0,47,6,4.333333,0,average
14,104,3.44,71,0,0,0,31,151,3.761589,0,average
8,7,3.88,8,0,0,0,25,334,3.736527,0,average
8,26,5,13,0,0,0,33,138,3.65942,0,average
7,81,3.57,23,0,0,0,43,7602,3.856617,1,average
3,3,3.67,12,0,0,0,40,38100,4.29147,0,average
8,8,3.63,187,0,0,0,38,1761,4.089722,0,successful
8,10,3.5,6,0,0,0,20,117,3.786325,0,average
12,11,3.34,887,0,0,0,14,1021,3.681685,1,successful
11,22,2.71,24,1,0,0,43,746,4.018767,0,average
8,7,3,11,0,0,0,35,5768,4.484397,0,average
8,7,4.39,111,0,1,0,38,1290,4.212403,0,average
6,30,3.53,325,0,0,0,41,383,3.793734,0,successful
11,26,4.25,12,0,0,0,70,874,4.05492,1,average
8,7,3.86,28,0,0,0,28,889,4.390326,0,average
8,7,3.58,605,0,0,0,36,21226,4.014181,0,successful
9,9,3.74,2148,0,0,0,44,246312,4.203725,0,successful
14,12,5,1,0,0,0,41,9217,4.17305,0,average
13,11,3.88,1224,0,0,0,19,56745,3.981073,0,successful
4.84,5,4.09,57,0,0,0,43,16099,3.951488,1,average
5,5,4.11,94,0,0,0,43,10436,4.044845,0,successful
14,89,3.43,647,0,0,0,40,5985,4.231746,0,successful
3,60,3.57,28,0,0,0,27,1500,3.952,0,average
7,6,3.35,1786,0,0,0,47,3566,3.732473,0,successful
5,5,3.93,7088,0,0,0,29,11481,4.095288,0,very_successful
9,8,4.07,27,0,0,0,22,34975,4.336583,0,average
9,8,4.22,237,0,0,0,138,96838,4.264659,0,successful
8,11,4.13,127,0,0,0,15,173,4.306358,0,successful
11,10,2,1,0,0,0,19,21307,3.999061,0,average
19,17,3.77,1163,1,0,0,27,15173,3.959995,0,successful
8,25,3.65,2324,0,0,0,39,30292,4.227585,1,successful
7,6,3.91,1797,0,0,0,32,9938,4.124874,0,successful
9,8,3.18,72,0,0,0,26,288,3.729167,0,average
12,11,3.11,434,0,0,0,29,6876,3.775451,0,successful
8,7,3.9,21,0,0,0,21,6126,4.318315,1,average
7,6,3.19,245,0,0,0,43,9341,4.012954,1,successful
8,17,3.93,426,0,0,0,41,5807,3.984157,0,successful
8,7,0,0,0,0,0,10,27175,3.966035,0,average
11,10,4.32,3648,0,1,0,39,4448,4.292266,0,very_successful
11,30,0,0,0,0,0,33,1380,4.007246,0,average
3.7,47,3.18,11,0,0,0,38,359,3.409471,0,average
14,12,3.75,1892,0,0,0,37,16447,4.030461,0,successful
11,10,4.26,1273,0,1,0,38,67171,4.102321,0,successful
18,16,3.63,477,0,0,0,27,2116,4.14603,0,successful
12,118,4.29,4266,0,1,0,38,165915,4.256077,0,very_successful
14,43,4.05,167,0,0,0,43,22711,3.872044,0,successful
8,75,4.33,3,0,0,0,41,4773,4.002933,0,average
1.77,2,4.03,510,0,0,0,45,783,4.237548,0,successful
3.73,9,4.14,856,0,0,0,44,2293,4.145661,0,successful
8,22,3.92,12,0,0,0,43,65189,4.04964,0,average
18,27,4.09,1903,0,0,0,42,15855,4.052917,0,successful
4,4,4.07,46,0,0,0,48,32168,3.884544,0,average
5.68,7,3.89,1232,0,0,0,41,7544,4.05448,0,successful
14,12,4.06,643,0,0,0,43,80093,4.006692,0,successful
1.75,6,3,2,0,0,0,35,2782,4.069015,0,average
14,84,4.13,60,0,0,0,43,849,3.707892,0,average
8,7,2.75,127,0,0,0,25,9470,3.956811,0,successful
6,9,4.04,2211,0,0,0,41,55089,4.032947,1,successful
5.89,5,3.25,392,0,0,0,24,4295,3.849593,0,successful
5,5,3.77,435,0,0,0,39,3883,4.288179,0,successful
2.71,3,4.03,7022,0,0,0,38,151249,4.049157,0,very_successful
11,10,5,3,0,0,0,42,299,4.247492,0,average
16,14,4.1,10,0,0,0,44,16803,4.155032,0,average
7,26,4.01,542,0,0,0,37,8242,4.216695,0,successful
4,4,1,1,0,0,0,44,254,3.515748,0,average
6,6,3.13,8,0,0,0,41,18877,4.079886,0,average
8,17,0,0,0,0,0,48,8,3.625,0,average
4,4,4.24,41,0,1,0,50,3053,3.8585,0,average
11,20,3.92,2841,0,0,0,41,12371,3.871635,0,successful
12,59,3.47,371,0,0,0,41,3592,4.062361,0,successful
11,11,2.99,228,0,0,0,17,5264,4.032865,0,successful
1.91,2,4.05,697,0,0,0,22,2399,4.105461,0,successful
5.7,58,3.45,8164,0,0,0,45,96276,4.096234,0,very_successful
8,17,4.47,907,0,1,0,40,1963,4.397351,0,successful
9,8,3.58,81,0,0,0,43,13814,3.856884,0,successful
5.72,9,2.5,4,0,0,0,33,1373,3.89949,0,average
2,10,3.2,10,0,0,0,41,8225,3.990638,0,average
9,9,4.16,129,0,0,0,43,16527,3.940159,0,successful
15,13,4,4,0,0,0,42,331,4.021148,0,average
20,17,4.17,12,0,0,0,36,26,3.923077,0,average
6,9,3.67,304,0,0,0,42,3300,4.024242,0,successful
3,3,3.08,109,0,0,0,38,7936,3.964592,0,successful
9,10,4.15,2587,0,0,0,31,5808,4.30699,0,successful
8,8,3.98,1612,0,0,0,42,35262,3.939482,0,successful
12,75,2.82,28,0,0,0,38,29,3.034483,0,average
11,13,3.8,5,0,0,0,41,23832,4.020435,0,average
9,22,3.3,10,0,0,0,43,16099,3.951488,1,average
7,6,4.33,144,0,1,0,34,10963,4.323908,0,successful
5.92,9,3.71,17,0,0,0,43,5106,4.212887,0,average
8,48,4.34,794,0,1,0,9,3403,4.337349,0,successful
11,134,3.54,28,0,0,0,46,1926,4.071651,0,average
8,7,3.62,2069,0,0,0,38,12006,3.901216,0,successful
15,115,3.94,6735,0,0,0,38,165915,4.256077,0,very_successful
8,7,3.59,2189,0,0,0,23,12309,4.04517,1,very_successful
1.68,2,3.95,238,0,0,0,23,12309,4.04517,1,successful
24,59,4.21,762,0,0,0,26,4084,4.308276,0,successful
5.65,26,3.67,33,0,0,0,32,3028,4.299207,0,average
